"id","organization_id","url","type","species","age","gender","size","name","breeds.primary"
41203592,"CA1382","<a href='https://www.petfinder.com/dog/luna-41203592/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","Luna","German Shepherd Dog"
41175935,"CA1762","<a href='https://www.petfinder.com/dog/tamale-41175935/ca/stockton/delta-humane-society-and-s-dot-pc-dot-a-ca1762/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Tamale","Pit Bull Terrier"
41166145,"CA1509","<a href='https://www.petfinder.com/dog/tawny-41166145/ca/patterson/westside-animals-for-adoption-ca1509/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Senior","Female","Large","Tawny","Belgian Shepherd / Malinois"
41164628,"CA2249","<a href='https://www.petfinder.com/dog/penny-lane-41164628/ca/stockton/second-chance-kitty-ca2249/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Small","Penny Lane","Chihuahua"
41128896,"CA2249","<a href='https://www.petfinder.com/cat/maple-indoor-only-41128896/ca/stockton/second-chance-kitty-ca2249/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Male","Medium","Maple INDOOR ONLY","Domestic Short Hair"
40871361,"CA2200","<a href='https://www.petfinder.com/dog/perdita-40871361/ca/los-banos/kates-rescue-for-animals-ca2200/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","Perdita","Staffordshire Bull Terrier"
40837331,"CA1382","<a href='https://www.petfinder.com/dog/buttercup-40837331/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Large","Buttercup","Husky"
40671160,"CA290","<a href='https://www.petfinder.com/cat/mia-40671160/ca/hollister/pet-friends-ca290/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Small","Mia","Siamese"
40671161,"CA290","<a href='https://www.petfinder.com/cat/tiger-lilly-40671161/ca/hollister/pet-friends-ca290/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Senior","Female","Large","Tiger Lilly","Domestic Short Hair"
40671162,"CA290","<a href='https://www.petfinder.com/cat/shiloh-40671162/ca/hollister/pet-friends-ca290/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Senior","Male","Medium","Shiloh","Domestic Short Hair"
40588873,"CA929","<a href='https://www.petfinder.com/cat/pippin-40588873/ca/visalia/love-of-animals-inc-ca929/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Female","Medium","Pippin","Domestic Short Hair"
40006583,"CA1382","<a href='https://www.petfinder.com/dog/joseph-40006583/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Medium","Joseph","Pit Bull Terrier"
40006555,"CA1382","<a href='https://www.petfinder.com/dog/mary-40006555/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Medium","Mary","Pit Bull Terrier"
39911248,"CA889","<a href='https://www.petfinder.com/dog/buddy-39911248/ca/lemoore/kings-spca-ca889/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Buddy","Pit Bull Terrier"
39911247,"CA889","<a href='https://www.petfinder.com/dog/mocha-39911247/ca/lemoore/kings-spca-ca889/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","Mocha","Staffordshire Bull Terrier"
39899275,"CA290","<a href='https://www.petfinder.com/cat/lemans-39899275/ca/hollister/pet-friends-ca290/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Male","Medium","LeMans","Domestic Short Hair"
39405753,"CA1509","<a href='https://www.petfinder.com/dog/jade-39405753/ca/patterson/westside-animals-for-adoption-ca1509/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","Jade","German Shepherd Dog"
39233985,"CA1382","<a href='https://www.petfinder.com/dog/zion-39233985/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Zion","Pit Bull Terrier"
39076448,"CA229","<a href='https://www.petfinder.com/cat/chocolate-39076448/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Small","Chocolate","Domestic Short Hair"
38598399,"CA1598","<a href='https://www.petfinder.com/dog/chica-38598399/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Small","Chica","Chihuahua"
38598398,"CA1598","<a href='https://www.petfinder.com/dog/chloe-38598398/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Small","Chloe","Rat Terrier"
38563424,"CA2200","<a href='https://www.petfinder.com/dog/jessica-38563424/ca/los-banos/kates-rescue-for-animals-ca2200/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","Jessica","German Shepherd Dog"
38308832,"CA2200","<a href='https://www.petfinder.com/dog/blackjack-38308832/ca/los-banos/kates-rescue-for-animals-ca2200/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Small","Blackjack","Chihuahua"
38308829,"CA2200","<a href='https://www.petfinder.com/dog/sebastian-38308829/ca/los-banos/kates-rescue-for-animals-ca2200/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Small","Sebastian","Chihuahua"
38272233,"CA2283","<a href='https://www.petfinder.com/cat/orbit-38272233/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Medium","Orbit","Domestic Short Hair"
38272235,"CA2283","<a href='https://www.petfinder.com/cat/pauli-38272235/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Small","Pauli","Domestic Medium Hair"
38272241,"CA2283","<a href='https://www.petfinder.com/cat/madleine-38272241/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Medium","Madleine","Calico"
38272242,"CA2283","<a href='https://www.petfinder.com/cat/bean-38272242/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Medium","Bean","Domestic Short Hair"
38272246,"CA2283","<a href='https://www.petfinder.com/cat/trevor-38272246/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Large","Trevor","Domestic Short Hair"
38272247,"CA2283","<a href='https://www.petfinder.com/cat/bear-38272247/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Medium","Bear","Domestic Short Hair"
38272248,"CA2283","<a href='https://www.petfinder.com/cat/bones-38272248/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Extra Large","Bones","Domestic Medium Hair"
38272249,"CA2283","<a href='https://www.petfinder.com/cat/ice-38272249/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Small","Ice","Domestic Short Hair"
38272253,"CA2283","<a href='https://www.petfinder.com/cat/knuckle-38272253/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Medium","Knuckle","Domestic Short Hair"
38272234,"CA2283","<a href='https://www.petfinder.com/cat/bubbles-38272234/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Large","Bubbles","Domestic Medium Hair"
38272254,"CA2283","<a href='https://www.petfinder.com/cat/tetley-38272254/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Medium","Tetley","Calico"
